Country,Province,Name,Owner,Shareholders,ShareholderNationality,PlantRiver,Latitude,Longitude,Status,Capacity,Year,Capital,Link,
Brasil,Goiás,Emborcação,CEMIG Geração e Transmissão S.A.,Cemig,Brasil,Paranaíba,-18.45234934,-47.98477771,Operacional,1192,1982,Estatal,https://www.cemig.com.br/usina/uhe-emborcacao/,
Brasil,Rio Grande do Sul,Machadinho,"Companhia Estadual de Geração de Energia Elétrica, Engie Brasil Energia S.A., Alcoa Alumínio S.A., Machadinho Participações S.A., DME Distribuição S.A., Vale S.A., Votorantim Cimentos Machadinho Energia Ltda., CBA Machadinho Geração de Energia","Consórcio Machadinho: cba (27,5232%), Alcoa (25,7431%), Engie (19,2745%), Vale (8,2927%), Votorantim (5,6176%), CEE Geração (5,5301%), InterCement (5,2762%), DME Distribuição (2,7326%)",Brasil,Uruguai,-27.52706416,-51.78968313,Operacional,1140,2002,Misto,https://www.engie.com.br/usinas/usina-hidreletrica-machadinho/,
Brasil,Tocantins,Estreito,"Companhia Energética Estretio S.A., Estreito Energia S.A., InterCement Brasil S.A., Vale S.A.","Consórcio Estreito Energia – CESTE: Engie (40,07%), Vale (30%), Alcoa (25,49%) e InterCement (4,44%)",França,Tocantins,-6.58909741,-47.46648003,Operacional,1087,2011,Privado,https://www.engie.com.br/usinas/usina-hidreletrica-estreito/,https://www.uhe-estreito.com.br/institucional/quem-somos.html
Brasil,Paraná,Salto Osório,Tractebel Energia S/A,Engie,França,Iguaçu,-25.53756844,-53.00896732,Operacional,1078,1975,Privado,https://www.engie.com.br/usinas/usina-hidreletrica-salto-osorio/,
Brasil,Bahia,Sobradinho,Companhia Hidro Elétrica do São Francisco,Eletrobras Chesf,Brasil,San Francisco,-9.43023841,-40.82719916,Operacional,1050,1982,Estatal,https://www.chesf.gov.br/SistemaChesf/Pages/SistemaGeracao/Sobradinho.aspx,
Brasil,São Paulo,Estreito (Luiz Carlos Barreto de Carvalho),Furnas Centrais Elétricas S.A.,Eletrobras Furnas,Brasil,Grande,-20.15085840,-47.27979292,Operacional,1050,1969,Estatal,https://www.furnas.com.br/lcbc/?culture=pt,
Brasil,Tocantins,Luís Eduardo Magalhães (Lajeado),"CEB Lajeado S.A, Investco S.A., Lajeado Energia S.A., Paulista Lajeado Energia S.A.","EDP, CPFL (4,15%)",Portugal,Tocantins,-9.75735525,-48.37196007,Operacional,902,2001,Privado,https://brasil.edp.com/en/what-we-do/generation/uhe-lajeado,https://www.grupocpfl.com.br/unidades-de-negocios/cpfl-geracao
Brasil,São Paulo,Henry Borden,Empresa Metropolitana de Águas e Energia S/A.,Emae,Brasil,Pedras,-23.86191495,-46.46208827,Operacional,889,1926,Estatal,http://emae.com.br/usina-hidroeletrica-henry-borden/,
Brasil,Santa Catarina,Campos Novos,Campos Novos Energia S.A.,"CPFL (48,7%), Votorantim Energia (44,7%), CEEE GT (6,5%)",China,Canoas,-27.60411890,-51.32711724,Operacional,880,2007,Misto,https://www.enercan.com.br/,
Brasil,Santa Catarina,Foz do Chapecó,Foz do Chapecó Energia S/A,"CPFL (51%), Eletrobras Furnas (40%) e CEEE-GT (9%)",China,Uruguai,-27.14000000,-53.04333333,Operacional,855,2010,Misto,http://www.fozdochapeco.com.br/empresa/,https://www.furnas.com.br/fozdochapeco/?culture=pt
Brasil,São Paulo,Três Irmãos,Tijoa Participações e Investimentos S.A.,"Eletrobras Furnas (49,9%), Triunfo Participações e Investimentos (50,1%)",Brasil,Tietê,-20.66867696,-51.29977116,Operacional,807,1993,Misto,https://www.furnas.com.br/tresirmaos/?culture=pt,
Brasil,Bahia,Paulo Afonso III,Companhia Hidro Elétrica do São Francisco,Eletrobras Chesf,Brasil,San Francisco,-9.39605031,-38.20193731,Operacional,794,1971,Estatal,https://www.chesf.gov.br/SistemaChesf/Pages/SistemaGeracao/PauloAfonsoIII.aspx,
Brasil,Mato Grosso,São Manoel,Empresa de Energia São Manoel S.A.,"EDP Brasil S.A. (33,334%), Furnas Centrais Elétricas e (33,333%) e China Three Gorges Corporation - CTG (33,333%)",Portugal / Brasil / China,Teles Pires,-9.19027541,-57.05222718,Operacional,700,2017,Mixto,https://www.furnas.com.br/saomanoel/?culture=pt,
Brasil,Rio Grande do Sul,Barra Grande,Energética Barra Grande S.A.,"Alcoa Alumínio (42,2%), CPFL (25%), Votorantim Energia (15%), Intercement (9%), DME Energética (8,8%)",Estados Unidos,Pelotas,-27.78026185,-51.19189954,Operacional,690,2005,Privado,https://www.baesa.com.br/,
Brasil,Minas Gerais,Cachoeira Dourada,ENEL GREEN POWER Cachoeira Dourada S.A.,Enel Green Power,Itália,Paranaíba,-18.50432743,-49.49021968,Operacional,658,1959,Privado,https://www.enel.com.br/pt/investidores/EGPCachoeiraDourada/InformacoesGerais0.html,
Brasil,Paraná,Capivara (Escola de Engenharia Mackenzie),"Rio Paranapanema Energia S.A.",CTG Brasil,China,Paranapanema,-22.65468656,-51.35708795,Operacional,643,1977,Privado,https://www.ctgbr.com.br/portfolio-item/energia-hidreletrica/,
Brasil,São Paulo,Taquaruçu (Escola Politécnica),Rio Paranapanema Energia S.A.,CTG Brasil,China,Paranapanema,-22.54366911,-52.00024984,Operacional,525,1992,Privado,https://www.ctgbr.com.br/portfolio-item/energia-hidreletrica/,
Brasil,Minas Gerais,Nova Ponte,CEMIG Geração e Transmissão S/A,Cemig,Brasil,Araguari,-19.12958199,-47.69696604,Operacional,510,1994,Estatal,https://www.cemig.com.br/usina/uhe-nova-ponte/,
Brasil,Rio Grande do Sul,Itaúba,Companhia Estadual de Geração e Transmissão de Energia Elétrica (CEEE GT),CEEE GT,Brasil,Jacuí,-29.26071944,-53.23588333,Operacional,500,1978,Estatal,https://www.ceee.com.br/a-ceee/usinas-e-pchs,
Brasil,Tocantins,Peixe Angical,Enerpeixe S/A,"Energias do Brasil, do grupo EDP (60%), Eletrobras Furnas (40%)",Portugal,Tocantins,-12.23546655,-48.38636694,Operacional,498,2006,Misto,https://www.furnas.com.br/peixeangical/?culture=pt,
Brasil,Minas Gerais,Marechal Mascarenhas de Moraes (Antiga Peixoto),Furnas Centrais Elétricas S.A.,Eletrobras,Brasil,Grande,-20.28626109,-47.06438589,Operacional,476,1957,Estatal,https://www.furnas.com.br/mascarenhas/?culture=pt,
Brasil,Bahia,Itapebi,Itapebi Geração de Energia S/A,Neoenergia,Espanha,Jequitinhonha,-15.96564305,-39.59263939,Operacional,462,2003,Privado,https://www.neoenergia.com/pt-br/sobre-nos/linhas-de-negocios/renovaveis/renovaveis-hidrica/Paginas/itapebi.aspx,
Brasil,Goiás,Cana Brava,Engie Brasil Energia S.A.,Engie,França,Maranhão ou Tocantins,-13.40238714,-48.14332931,Operacional,450,2002,Privado,https://www.engie.com.br/usinas/uhe-cana-brava/,
